Epoch,D_loss,G_loss,D_loss_change_%,G_loss_change_%,D_to_G_ratio
255,-9.7474,-30.833,-22.03265103704236,21.64406692731655,-0.31613530957091435
256,-9.5963,-23.5563,-1.5501569649342573,-23.60036324717023,-0.40737721968220814
257,-9.5782,-28.2537,-0.18861436178525537,19.941162236853827,-0.33900692652643727
258,-9.9806,-27.7493,4.201206907352106,-1.7852529049292576,-0.35967033402644394
259,-12.4021,-24.8739,24.262068412720673,-10.362063187179505,-0.49859893301814356
260,-10.1702,-20.5862,-17.996145814015374,-17.23774719686095,-0.49402998124957487
261,-10.9168,-21.1908,7.341055239818295,2.936918906840491,-0.5151669592464655
262,-10.0655,-23.2153,-7.798072695295321,9.553674235989206,-0.4335718254771638
263,-9.0432,-24.3041,-10.156475088172467,4.690010467234962,-0.3720853683123424
264,-11.0657,-22.2185,22.36487084217975,-8.581268181088786,-0.49803992168688255
265,-9.7932,-30.8529,-11.499498450165824,38.86130926930262,-0.3174158669039215
266,-8.6008,-18.9061,-12.175795449904026,-38.72180572976933,-0.45492195640560457
267,-10.4246,-18.279,21.20500418565716,-3.3169188780340697,-0.5703047212648394
268,-14.3176,-19.2789,37.34435853653857,5.470211718365348,-0.7426564793634491
269,-11.656,-25.9137,-18.58970777225233,34.41482657205546,-0.44980068457997124
270,-10.306,-22.7564,-11.58201784488676,-12.183902723269924,-0.4528835843982352
271,-10.3573,-18.1376,0.49776829031633607,-20.296707739361242,-0.5710402699364856
272,-12.3897,-29.5909,19.622874687418523,63.146722829922396,-0.41869966780327733
273,-10.4466,-13.3395,-15.683188454926267,-54.92026264831418,-0.7831328010795008
274,-11.9895,-22.685,14.769398656022048,70.05884778290041,-0.5285210491514216
275,-10.0346,-20.3138,-16.305100296092412,-10.452722063037246,-0.49397946223749367
276,-12.5897,-18.903,25.462898371634157,-6.945032441000709,-0.6660159763000583
277,-11.8412,-24.9955,-5.945336266948376,32.23033380944824,-0.47373327198895804
278,-12.6016,-10.156,6.421646454751206,-59.36868636354544,-1.240803465931469
279,-12.8305,-21.5279,1.8164360081259545,111.97223316266243,-0.5959940356467655
280,-10.5773,-21.0665,-17.561279763064586,-2.1432652511392036,-0.5020909975553604
281,-9.077,-12.1807,-14.184149073960272,-42.17976408041203,-0.7451952679238467
282,-10.7956,-17.1964,18.93356835959017,41.17743643632961,-0.6277825591402851
283,-8.0055,-15.9394,-25.844788617584946,-7.309669465702129,-0.5022460067505677
284,-11.851,-13.1079,48.03572543876087,-17.764156743666625,-0.9041112611478574
285,-12.0222,-16.0949,1.4446038309003262,22.787784465856454,-0.7469571106375311
286,-8.5743,-15.1185,-28.67944303039378,-6.066517965318208,-0.5671395971822601
287,-12.3447,-5.6046,43.97326895490012,-62.92886199027681,-2.202601434535917
288,-11.9177,-11.0928,-3.458974296661721,97.92313456803343,-1.074363551132266
289,-10.2673,-15.3652,-13.848309657064695,38.51507284004039,-0.6682177908520553
290,-11.859,-8.4621,15.502615098419238,-44.926847681774404,-1.4014251781472684
291,-11.4045,-16.138,-3.832532253984311,90.70916202833814,-0.7066860825381087
292,-11.0515,-10.2309,-3.0952694111973322,-36.60366836039163,-1.0802079973413874
293,-10.4786,-17.2058,-5.183911686196452,68.17484287794817,-0.6090155645189413
294,-10.2344,-12.6351,-2.3304639932815396,-26.564879284892307,-0.8099975465172418
295,-11.5253,-20.8232,12.613343234581409,64.8043941084756,-0.5534836144300588
296,-11.2639,-13.0572,-2.2680537599888972,-37.29494025894194,-0.8626581502925589
297,-11.1305,-4.7938,-1.1843144914283732,-63.28615629690899,-2.3218532270849845
298,-11.7332,-10.5888,5.414851084856931,120.88531019233177,-1.1080764581444544
299,-11.5033,-9.1426,-1.9593972658780268,-13.657827138108203,-1.2582088246231924
300,-10.4526,-11.8393,-9.133900706753707,29.495985824601313,-0.8828731428378368
301,-11.476,-3.5235,9.790865430610562,-70.23894993791863,-3.2569887895558396
302,-11.493,-8.3639,0.14813523875913948,137.37476940542072,-1.3741197288346347
303,-10.8194,-6.6984,-5.860958844514053,-19.912959265414443,-1.615221545443688
304,-11.1902,-2.8151,3.42717710778786,-57.97354592141407,-3.97506305282228
305,-12.3755,-8.6322,10.592303980268447,206.6391957656921,-1.4336437987998427
306,-12.3318,-12.365,-0.3531170457759414,43.24274229049374,-0.9973150020218358
307,-12.0891,-7.7194,-1.9680825183671424,-37.570562070359884,-1.5660673109309013
308,-13.0265,-10.6613,7.754092529634127,38.11047490737622,-1.221849117837412
309,-12.2702,-8.8148,-5.8058572909069905,-17.319651449635597,-1.39199981848709
310,-11.9283,-4.5838,-2.7864256491336836,-47.99882016608431,-2.6022732230900125
311,-12.6501,-6.6719,6.0511556550388645,45.553907238535714,-1.8960266191040034
312,-15.6057,0.5656,23.364242179903716,-108.4773452839521,27.591407355021218
313,-9.8182,-5.7114,-37.08580839052398,-1109.7949080622348,-1.7190531218265221
314,-11.0778,-3.565,12.829235501415749,-37.580978394089016,-3.1073772791023844
315,-13.1663,3.0458,18.853021358031373,-185.43618513323983,4.322772342241776
